label|text
ENFJ|Let us create a society that will help men rise from the dark depths of prejudice and racism to the majestic heights of understanding and brotherhood.
ENFJ|The ultimate measure of a man is not where he stands in moments of comfort and convenience, but where he stands at times of challenge and controversy.
ENFJ|The time is always right to do what is right.
ENFJ|We are caught in an inescapable network of mutuality, tied in a single garment of destiny. Whatever affects one directly, affects all indirectly.
ENFJ|King was the type of person that people really gravitated towards and they seemed to like him personally, as well as his leadership.
ENFJ|Let it never be said by future generations that indifference, cynicism or selfishness made us fail to live up to our ideals.
ENFJ|Let the strivings of us all prove Martin Luther King Jr. ... correct, when he said that humanity can no longer be tragically bound to the starless midnight of racism.
ENFJ|Let us all struggle to prove that ... genuine brotherhood and peace is more precious than diamonds or silver or gold.
ENFJ|During my lifetime I have dedicated myself to the struggle for a society in which all persons will live together in harmony.
ENFJ|Yasser Arafat was one of the outstanding freedom fighters of this generation.
ENFJ|I hope to have communion with the people, that is the most important thing.
ENFJ|Science develops best when its concepts and conclusions are integrated into the broader human culture and its concerns for ultimate meaning and value.
ENFJ|Scientists should also devote themselves to the issues dealt with by ... theologians. By doing so they can help others realize more fully the human potentialities of their discoveries.
ENFJ|Science can purify religion from error and superstition. Religion can purify science from idolatry and false absolutes. Each can draw the other into a wider world, a world in which both can flourish.
ENFJ|It is natural to me to empathize with the condition of others and to sympathize with it with pleasure.
ENFJ|If we treat people as they are, we make them worse. If we treat people as they ought to be, we help them become what they are capable of becoming.
ENFJ|We discussed a good many things in agreement; eventually, however, a certain separation proved unavoidable, as when two friends, having walked so far, shake hands, one wanting to go north and the other south, and very soon lose sight of one another.
ENFJ|I completely understand that the gender equality debate is heated and emotional ... and I am actually grateful for this because there is never any change without heated debate.
ENFJ|When I was in elementary school, I taught my younger siblings ... to follow me around, listen to my monologues, and scream the word, 'Right!' when I concluded.
ENFJ|For most of my life, I instinctively didn't talk about things that went well for me. ... The reason I kept my success quiet was that it would have made me less likable.
ENFJ|Nobody doubts her skill at managing difficult colleagues (be that Mark Zuckerberg or Larry Summers); or that she is brilliant at pulling teams together ... with her charm and impressive force.
ENFJ|What you leave behind is not what is engraved in stone monuments, but what is woven into the lives of others.
ENFJ|We do not say that a man who takes no interest in others is a man who minds his own business: We say that he has no business here at all.
ENFJ|A man who has the knowledge but lacks the power to express it clearly is no better off than if he never had any ideas at all.
ENFJ|Pericles, through persuasion, could always sway the onlookers to his course.
ENFJ|There is nothing in which I habitually find greater satisfaction than in the consciousness of serving my friends.
ENFJ|We are not born for ourselves alone.
ENFJ|A friend is a second self.
ENFJ|Feeling sensitivity of disposition is the sign of a good heart.
ENFJ|In anger nothing judicious can be done.
ENFJ|They say that if God spoke Greek, he would speak like Plato.
ENFJ|He had the name of being not only the best orator, but also the best poet of Rome.
ENFJ|The truth is often lost while quarreling and is discovered with greater certainty without it.
ENFJ|Erasmus sought to reconcile all viewpoints. He detested war and violence of any sort ... owing to his sensitive disposition.
